timestamp, cpu_power_uW, io_power_uW
1503442785.054548807, 2437000, 5468000
1503442785.330283901, 2437000, 5468000
1503442785.604126768, 2437000, 5468000
1503442785.879355694, 2437000, 5468000
1503442786.153966832, 2437000, 5468000
1503442786.428532209, 2437000, 5468000
1503442786.708332439, 2437000, 5468000
1503442786.982767134, 2437000, 5468000
1503442787.257133569, 2437000, 5468000
1503442787.532651659, 2437000, 5468000
1503442787.805208829, 2437000, 5468000
1503442788.081198785, 2437000, 5468000
1503442788.359682817, 2437000, 5468000
1503442788.635825896, 2437000, 5468000
1503442788.914499929, 2437000, 5468000
1503442789.198789160, 2437000, 5468000
1503442789.473306377, 2437000, 5468000
1503442789.747684292, 2437000, 5468000
1503442790.024850025, 2437000, 5468000
1503442790.296992089, 2437000, 5468000
1503442790.573745956, 2437000, 5468000
1503442790.851451676, 2437000, 5468000
1503442791.125331964, 2437000, 5218000
1503442791.401029417, 2437000, 5218000
1503442791.675873178, 2437000, 5218000
1503442791.950976063, 2437000, 5218000
1503442792.225714963, 2437000, 5218000
1503442792.503664366, 2437000, 5468000
1503442792.778183143, 2437000, 5468000
1503442793.057085700, 2437000, 5468000
1503442793.332960035, 2437000, 5468000
1503442793.611140522, 2437000, 5468000
1503442793.884424842, 2437000, 5468000
1503442794.162359606, 2437000, 5468000
1503442794.440674034, 2437000, 5468000
1503442794.718509457, 2437000, 5468000
1503442794.995636409, 2437000, 5468000
1503442795.267039523, 2437000, 5468000
1503442795.542694495, 2437000, 5468000
1503442795.822015618, 2437000, 5468000
1503442796.095869786, 2437000, 5468000
1503442796.371815922, 2437000, 5468000
1503442796.649476262, 2437000, 5468000
1503442796.926557634, 2437000, 5468000
1503442797.204001331, 2437000, 5468000
1503442797.490713695, 2437000, 5468000
1503442797.774067393, 2437000, 5468000
1503442798.052027457, 2437000, 5468000
1503442798.326352031, 2437000, 5468000
1503442798.600792347, 2437000, 5468000
1503442798.875224382, 2437000, 5468000
1503442799.146575875, 2437000, 5468000
1503442799.421753701, 2437000, 5468000
1503442799.701322767, 2437000, 5468000
1503442799.980096102, 2437000, 5468000
1503442800.253929710, 2437000, 5468000
1503442800.528740730, 2437000, 5468000
1503442800.803697513, 2437000, 5468000
1503442801.080908907, 2437000, 5468000
1503442801.358815350, 2437000, 5468000
1503442801.635697639, 2437000, 5468000
1503442801.914696838, 2437000, 5468000
1503442802.189122693, 2437000, 5468000
1503442802.472748775, 2437000, 5468000
1503442802.748050063, 2437000, 5468000
1503442803.032432915, 2437000, 5468000
1503442803.306097760, 2437000, 5468000
1503442803.585059538, 2437000, 5468000
1503442803.859021567, 2437000, 5468000
1503442804.133465502, 2437000, 5468000
1503442804.409865465, 2437000, 5468000
1503442804.688183174, 2437000, 5468000
1503442804.966445402, 2437000, 5468000
1503442805.241603008, 2437000, 5468000
1503442805.519556312, 2437000, 5218000
1503442805.799913209, 2437000, 5218000
1503442806.074858791, 2437000, 5468000
1503442806.348370514, 2437000, 5468000
1503442806.622925951, 2437000, 5468000
1503442806.900838235, 2437000, 5468000
1503442807.175955240, 2437000, 5218000
1503442807.453833963, 2437000, 5218000
1503442807.728923307, 2437000, 5468000
1503442808.002693694, 2437000, 5468000
1503442808.280460275, 2437000, 5468000
1503442808.556125408, 2437000, 5468000
1503442808.833668366, 2437000, 5468000
1503442809.108861112, 2437000, 5468000
1503442809.385973884, 2437000, 5468000
1503442809.664565997, 2437000, 5468000
1503442809.939816784, 2437000, 5468000
1503442810.214141478, 2437000, 5468000
1503442810.491869059, 2437000, 5468000
1503442810.767594872, 2437000, 5468000
1503442811.045144491, 2437000, 5468000
1503442811.321936679, 2437000, 5468000
1503442811.598111118, 2437000, 5218000
